AmpId	SequenceId	PositionInSequence	Length
primer_pair322_amp_1	NC_007631.1	2015	532
primer_pair323_amp_1	NC_007631.1	2015	530
primer_pair326_amp_1	NC_007631.1	2015	525
primer_pair329_amp_1	NC_007631.1	2015	529
primer_pair331_amp_1	NC_007631.1	2015	522
primer_pair332_amp_1	NC_007631.1	2015	531
primer_pair333_amp_1	NC_007631.1	2015	524
primer_pair334_amp_1	NC_007631.1	2015	487
primer_pair336_amp_1	NC_007631.1	2015	526
primer_pair337_amp_1	NC_007631.1	2015	488
primer_pair342_amp_1	NC_007631.1	2015	528
primer_pair344_amp_1	NC_007631.1	2015	521
primer_pair345_amp_1	NC_007631.1	2015	523
primer_pair347_amp_1	NC_007631.1	2015	527
primer_pair348_amp_1	NC_007631.1	2015	489
primer_pair450_amp_1	NC_007631.1	2470	77
primer_pair451_amp_1	NC_007631.1	2470	75
primer_pair454_amp_1	NC_007631.1	2470	70
primer_pair457_amp_1	NC_007631.1	2470	74
primer_pair460_amp_1	NC_007631.1	2470	67
primer_pair461_amp_1	NC_007631.1	2470	76
primer_pair462_amp_1	NC_007631.1	2470	69
primer_pair464_amp_1	NC_007631.1	2470	71
primer_pair470_amp_1	NC_007631.1	2470	73
primer_pair472_amp_1	NC_007631.1	2470	66
primer_pair473_amp_1	NC_007631.1	2470	68
primer_pair475_amp_1	NC_007631.1	2470	72
primer_pair546_amp_1	NC_007631.1	2471	76
primer_pair547_amp_1	NC_007631.1	2471	74
primer_pair550_amp_1	NC_007631.1	2471	69
primer_pair553_amp_1	NC_007631.1	2471	73
primer_pair556_amp_1	NC_007631.1	2471	66
primer_pair557_amp_1	NC_007631.1	2471	75
primer_pair558_amp_1	NC_007631.1	2471	68
primer_pair561_amp_1	NC_007631.1	2471	70
primer_pair566_amp_1	NC_007631.1	2471	72
primer_pair568_amp_1	NC_007631.1	2471	65
primer_pair569_amp_1	NC_007631.1	2471	67
primer_pair571_amp_1	NC_007631.1	2471	71
primer_pair898_amp_1	NC_007631.1	2472	75
primer_pair899_amp_1	NC_007631.1	2472	73
primer_pair902_amp_1	NC_007631.1	2472	68
primer_pair905_amp_1	NC_007631.1	2472	72
primer_pair908_amp_1	NC_007631.1	2472	65
primer_pair909_amp_1	NC_007631.1	2472	74
primer_pair910_amp_1	NC_007631.1	2472	67
primer_pair913_amp_1	NC_007631.1	2472	69
primer_pair919_amp_1	NC_007631.1	2472	71
primer_pair921_amp_1	NC_007631.1	2472	64
primer_pair922_amp_1	NC_007631.1	2472	66
primer_pair924_amp_1	NC_007631.1	2472	70
