AmpId	SequenceId	PositionInSequence	Length
primer_pair95_amp_1	KY996500.1_Wallabia_bicolor	488	436
primer_pair95_amp_2	NC_000845.1_Sus_scrofa	1662	439
primer_pair95_amp_3	NC_006853.1_Bos_taurus	842	439
primer_pair95_amp_4	NC_007631.1_Sminthopsis_crassicaudata	493	433
primer_pair95_amp_5	NC_011944.1_Thylacinus_cynocephalus	1432	434
primer_pair95_amp_6	NC_012920.1_Homo_sapiens	1066	431
primer_pair95_amp_7	NC_053523.1_Gallus_gallus	501	443
primer_pair308_amp_1	KY996500.1_Wallabia_bicolor	2403	74
primer_pair308_amp_2	NC_000845.1_Sus_scrofa	3586	74
primer_pair308_amp_3	NC_006853.1_Bos_taurus	2770	74
primer_pair308_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	74
primer_pair308_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	74
primer_pair308_amp_6	NC_012920.1_Homo_sapiens	2976	74
primer_pair308_amp_7	NC_053523.1_Gallus_gallus	2472	74
primer_pair312_amp_1	KY996500.1_Wallabia_bicolor	2403	70
primer_pair312_amp_2	NC_000845.1_Sus_scrofa	3586	70
primer_pair312_amp_3	NC_006853.1_Bos_taurus	2770	70
primer_pair312_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	70
primer_pair312_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	70
primer_pair312_amp_6	NC_012920.1_Homo_sapiens	2976	70
primer_pair312_amp_7	NC_053523.1_Gallus_gallus	2472	70
primer_pair313_amp_1	KY996500.1_Wallabia_bicolor	2403	71
primer_pair313_amp_2	NC_000845.1_Sus_scrofa	3586	71
primer_pair313_amp_3	NC_006853.1_Bos_taurus	2770	71
primer_pair313_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	71
primer_pair313_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	71
primer_pair313_amp_6	NC_012920.1_Homo_sapiens	2976	71
primer_pair313_amp_7	NC_053523.1_Gallus_gallus	2472	71
primer_pair315_amp_1	KY996500.1_Wallabia_bicolor	2403	75
primer_pair315_amp_2	NC_000845.1_Sus_scrofa	3586	75
primer_pair315_amp_3	NC_006853.1_Bos_taurus	2770	75
primer_pair315_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	75
primer_pair315_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	75
primer_pair315_amp_6	NC_012920.1_Homo_sapiens	2976	75
primer_pair315_amp_7	NC_053523.1_Gallus_gallus	2472	75
primer_pair317_amp_1	KY996500.1_Wallabia_bicolor	2403	73
primer_pair317_amp_2	NC_000845.1_Sus_scrofa	3586	73
primer_pair317_amp_3	NC_006853.1_Bos_taurus	2770	73
primer_pair317_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	73
primer_pair317_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	73
primer_pair317_amp_6	NC_012920.1_Homo_sapiens	2976	73
primer_pair317_amp_7	NC_053523.1_Gallus_gallus	2472	73
primer_pair319_amp_1	KY996500.1_Wallabia_bicolor	2403	72
primer_pair319_amp_2	NC_000845.1_Sus_scrofa	3586	72
primer_pair319_amp_3	NC_006853.1_Bos_taurus	2770	72
primer_pair319_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	72
primer_pair319_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	72
primer_pair319_amp_6	NC_012920.1_Homo_sapiens	2976	72
primer_pair319_amp_7	NC_053523.1_Gallus_gallus	2472	72
primer_pair320_amp_1	KY996500.1_Wallabia_bicolor	2403	77
primer_pair320_amp_2	NC_000845.1_Sus_scrofa	3586	77
primer_pair320_amp_3	NC_006853.1_Bos_taurus	2770	77
primer_pair320_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	77
primer_pair320_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	77
primer_pair320_amp_6	NC_012920.1_Homo_sapiens	2976	77
primer_pair320_amp_7	NC_053523.1_Gallus_gallus	2472	77
primer_pair322_amp_1	KY996500.1_Wallabia_bicolor	2403	76
primer_pair322_amp_2	NC_000845.1_Sus_scrofa	3586	76
primer_pair322_amp_3	NC_006853.1_Bos_taurus	2770	76
primer_pair322_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2415	76
primer_pair322_amp_5	NC_011944.1_Thylacinus_cynocephalus	3342	76
primer_pair322_amp_6	NC_012920.1_Homo_sapiens	2976	76
primer_pair322_amp_7	NC_053523.1_Gallus_gallus	2472	76
primer_pair354_amp_1	KY996500.1_Wallabia_bicolor	2404	73
primer_pair354_amp_2	NC_000845.1_Sus_scrofa	3587	73
primer_pair354_amp_3	NC_006853.1_Bos_taurus	2771	73
primer_pair354_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	73
primer_pair354_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	73
primer_pair354_amp_6	NC_012920.1_Homo_sapiens	2977	73
primer_pair354_amp_7	NC_053523.1_Gallus_gallus	2473	73
primer_pair358_amp_1	KY996500.1_Wallabia_bicolor	2404	69
primer_pair358_amp_2	NC_000845.1_Sus_scrofa	3587	69
primer_pair358_amp_3	NC_006853.1_Bos_taurus	2771	69
primer_pair358_amp_4	NC_007631.1_Sminthopsis_crassicaudata	2416	69
primer_pair358_amp_5	NC_011944.1_Thylacinus_cynocephalus	3343	69
primer_pair358_amp_6	NC_012920.1_Homo_sapiens	2977	69
primer_pair358_amp_7	NC_053523.1_Gallus_gallus	2473	69
